train_indices;barrio;cod_barrio;distrito;cod_distrito;longitud;latitud;precio.house.m2;sup.const;sup.util;ref.hip.zona;dorm;banos;tipo.casa;inter.exter;ascensor;estado;antig;comercial;casco.historico;Ruidos_ext;Mal_olor;Poca_limp;Malas_comunic;Pocas_zonas;Delincuencia;M.30;CO;NO2;Nox;O3;SO2;PM10;Pobl.0_14_div_Poblac.Total;PoblJubilada_div_Poblac.Total;Inmigrantes.porc
489;San Cristobal;172;villaverde;17;-3,689625;40,347623;2709;55;50;2266;2;1;piso;exterior;no;buen_estado;30;0;0;0,51;0,42;0,69;0,55;0,39;0,75;0;-0,271638654;-0,00346781;-0,003660464;0,055845137;-0,648420095;0,065020905;15,43409004;16,55947157;18,12365171
490;Pilar;84;fuencarral;8;-3,710332;40,473069;2619;42;40;3447;3;1;piso;exterior;si;buen_estado;40;0;0;0,37;0,18;0,34;0,04;0,18;0,32;0;-0,045552375;0,122388719;0,086851272;0,80669133;-0,471507597;0,131514354;14,20421856;16,94858245;7,080644733
491;San Diego;132;puente_vallecas;13;-3,665657;40,396225;2812;80;50;3414;2;2;piso;exterior;si;buen_estado;5;0;0;0,46;0,35;0,65;0,17;0,59;0,57;0;-0,105202587;-0,00346781;-0,003660464;0,074280662;-0,498084325;-0,208267367;14,08516192;17,53242516;15,65135819
492;Acacias;22;arganzuela;2;-3,700572;40,402538;3278;44;40;3362;2;1;piso;exterior;no;a_reformar;30;1;1;0,42;0,35;0,48;0,14;0,24;0,4;0;1,160973597;0,101502952;0,598273793;0,517081529;-0,570023383;0,449139253;12,40597363;16,46376624;12,06777025
493;Sol;16;centro;1;-3,701234;40,421436;8250;80;72;4675;3;2;atico;exterior;si;buen_estado;40;1;1;0,55;0,41;0,45;0,02;0,68;0,75;1;0,493664489;-1,004271858;-0,550915509;-0,683396214;0,882023869;0,427180959;12,64032448;20,78241528;13,43059008
495;Sol;16;centro;1;-3,701963;40,420684;7838;34;34;4656;1;1;estudio;interior;si;buen_estado;2,5;1;1;0,55;0,41;0,45;0,02;0,68;0,75;1;0,434473012;-1,286449029;-0,745498061;-0,586011617;0,796827331;0,412114606;12,64032448;20,78241528;13,43059008
496;Universidad;15;centro;1;-3,702697;40,428693;5448;67;58;4128;1;1;piso;exterior;si;buen_estado;30;1;1;0,48;0,33;0,56;0,03;0,65;0,67;1;0,779143874;-0,066039471;0,01163075;-0,766024931;1,078628758;0,405389469;8,897225664;16,24441444;18,57260186
497;Goya;42;salamanca;4;-3,66951;40,426941;5769;65;60;4301;2;1;piso;interior;si;buen_estado;30;1;1;0,37;0,26;0,33;0,01;0,38;0,19;0;0,365296249;-0,510071861;-0,510043145;-0,28253017;0,410918125;-0,232308073;10,85083231;22,44510378;8,574556809
498;Aguilas;107;latina;10;-3,763894;40,383466;1525;115;103;4000;4;2;piso;exterior;si;buen_estado;35;0;0;0,28;0,11;0,35;0,13;0,12;0,28;0;-0,210692864;-0,00346781;-0,003660464;0,055845137;-0,444924614;-0,23099253;11,66186069;21,8191402;13,94780088
499;Hellín;202;san_blas;20;-3,612335;40,430779;2119;118;95;2790;3;2;piso;exterior;si;buen_estado;25;0;0;0,27;0,11;0,6;0,06;0,29;0,48;0;-0,423897521;-0,00346781;-0,003660464;0,054585912;-0,783745846;-0,221505845;15,78030972;16,98640757;9,820356237
500;Aguilas;107;latina;10;-3,76798;40,393578;2722;90;73;2911;3;1;piso;exterior;si;a_reformar;30;0;0;0,28;0,11;0,35;0,13;0,12;0,28;0;-0,169312122;-0,00346781;-0,003660464;0,055845137;-0,56909013;-0,251245219;11,66186069;21,8191402;13,94780088
501;Pueblo Nuevo;152;ciudad_lineal;15;-3,639575;40,427839;2663;86;74;2927;2;2;piso;exterior;no;buen_estado;30;0;0;0,38;0,23;0,45;0,18;0,35;0,51;0;-0,311525964;-0,00346781;-0,003660464;0,047248877;-0,406460637;-0,412027444;12,64032448;20,78241528;13,43059008
502;Casco Histórico de Vicálvaro;191;vicalvaro;19;-3,609223;40,408889;2404;50;50;2766;3;1;piso;exterior;no;buen_estado;39,66523771;0;0;0,37;0,27;0,42;0,06;0,38;0,36;0;-0,234438605;-0,00346781;-0,003660464;0,055845137;-0,461975483;-0,198990939;18,37401856;12,62526767;9,042112777
503;Castillejos;63;tetuan;6;-3,692518;40,458703;6000;178;160;2442;2;2;piso;exterior;si;buen_estado;11,83046302;0;0;0,43;0,26;0,35;0,02;0,51;0,38;0;-0,002130658;-0,00346781;-0,003660464;0,227373476;0,666437121;0,160663309;11,18104406;19,55661377;17,55990757
505;Ibiza;34;retiro;3;-3,674455;40,418152;3647;255;232;4499;5;3;piso;exterior;si;buen_estado;30;1;1;0,33;0,2;0,31;0,01;0,08;0,2;0;0,586180674;0,048689179;0,010029169;-0,352548868;0,408847907;-0,026650752;11,43431019;21,30855294;6,063612677
506;Universidad;15;centro;1;-3,703058;40,422465;4667;90;85;3873;3;1;atico;exterior;si;buen_estado;40;1;1;0,48;0,33;0,56;0,03;0,65;0,67;1;0,51255108;-1,021643221;-0,530501709;-0,599104603;0,838827771;0,39286427;8,897225664;16,24441444;18,57260186
507;Marroquina;143;moratalaz;14;-3,635938;40,407369;3457;81;78;3191;3;1;piso;exterior;si;buen_estado;25;0;0;0,28;0,15;0,31;0,16;0,13;0,27;0;0,069331449;-0,13842182;-0,117806512;-0,418385857;-0,096164738;-0,362113263;13,08628404;22,22093651;7,956298696
508;Pacífico;31;retiro;3;-3,671408;40,407189;2941;85;72;4198;2;1;piso;exterior;si;a_reformar;30;1;1;0,38;0,27;0,37;0,02;0,32;0,26;0;0,508096584;-0,00346781;-0,003660464;0,005860958;-0,109246166;-0,082224012;11,43431019;21,30855294;6,063612677
510;Salvador;123;san_blas;20;-3,634286;40,445624;4569;116;85;3740;2;2;piso;exterior;si;buen_estado;10;0;0;0,26;0,13;0,26;0,18;0,13;0,28;0;-0,78235841;-0,431383;-0,356816799;0,0596156;-0,860553697;-0,349943012;15,78030972;16,98640757;9,820356237
512;Embajadores;12;centro;1;-3,704756;40,413093;3000;200;175;4145;7;5;piso;exterior;si;a_reformar;30;1;1;0,43;0,33;0,64;0,04;0,74;0,76;1;0,494172855;-0,193348081;-0,128378318;0,423877182;0,03614483;0,376044036;8,897225664;16,24441444;18,57260186
513;San Juan Bautista;156;ciudad_lineal;15;-3,656909;40,448044;5092;120;106;3329;3;2;piso;exterior;si;segunda_mano;25;0;0;0,39;0,22;0,28;0,24;0,17;0,31;0;-0,653184698;-0,00346781;-0,003660464;0,184328416;-0,079120576;-0,422467922;12,64032448;20,78241528;13,43059008
514;Delicias;25;arganzuela;2;-3,695272;40,398943;3750;40;30;3123;1;1;piso;interior;no;reformado;30;1;1;0,47;0,44;0,58;0,09;0,42;0,55;0;1,391253292;0,148518579;0,876311542;0,157992878;-0,686268199;0,546491845;12,40597363;16,46376624;12,06777025
516;Casco Histórico de Vicálvaro;191;vicalvaro;19;-3,605018;40,406961;3074;68;60;2766;3;1;piso;exterior;si;buen_estado;40;0;0;0,35;0,45;0,46;0,18;0,4;0,44;0;-0,286491568;-0,00346781;-0,003660464;0,055845137;-0,46988413;-0,191846254;18,37401856;12,62526767;9,042112777
